2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,freq,ind_type,unit,indic_is,geo
:,:,:,:,:,:,32.70,26.63,21.22,16.27,12.15,:,A,IND_TOTAL,PC_IND,I_IUX,AL
17.46,15.93,15.12,13.43,12.99,9.63,9.90,9.94,7.99,5.92,4.84,3.66,A,IND_TOTAL,PC_IND,I_IUX,AT
:,:,:,:,:,:,24.22,26.18,23.10,20.31,:,14.28,A,IND_TOTAL,PC_IND,I_IUX,BA
15.37,15.12,12.92,12.64,11.23,9.84,8.62,6.94,5.86,4.55,3.70,3.24,A,IND_TOTAL,PC_IND,I_IUX,BE
42.03,40.59,37.07,34.72,33.32,30.29,26.68,24.49,20.89,17.02,12.76,11.82,A,IND_TOTAL,PC_IND,I_IUX,BG
:,:,8.27,:,:,4.35,:,2.55,:,1.42,:,0.65,A,IND_TOTAL,PC_IND,I_IUX,CH
36.33,32.49,27.97,26.00,23.20,17.79,14.70,13.41,8.85,8.72,8.15,8.41,A,IND_TOTAL,PC_IND,I_IUX,CY
18.24,17.40,15.69,13.37,13.15,11.13,9.72,9.28,7.92,7.25,5.73,5.17,A,IND_TOTAL,PC_IND,I_IUX,CZ
14.65,12.99,11.00,9.68,7.99,7.37,5.22,4.65,4.12,6.19,5.52,5.06,A,IND_TOTAL,PC_IND,I_IUX,DE
5.81,3.54,2.62,2.79,2.44,2.03,1.67,1.86,0.91,0.69,1.48,0.53,A,IND_TOTAL,PC_IND,I_IUX,DK
19.66,16.41,12.37,9.05,9.97,9.33,8.33,7.25,8.57,6.52,6.12,5.22,A,IND_TOTAL,PC_IND,I_IUX,EE
41.92,36.30,32.91,29.98,28.42,28.33,25.04,22.15,19.89,19.86,13.97,12.62,A,IND_TOTAL,PC_IND,I_IUX,EL
26.84,24.36,21.43,19.03,17.32,14.01,12.75,8.37,6.03,4.86,4.47,3.37,A,IND_TOTAL,PC_IND,I_IUX,ES
7.37,6.12,5.52,5.47,4.34,5.06,4.44,3.22,1.62,2.01,1.90,1.49,A,IND_TOTAL,PC_IND,I_IUX,FI
15.09,13.98,12.11,10.77,9.80,9.97,7.78,6.68,:,4.85,5.88,4.22,A,IND_TOTAL,PC_IND,I_IUX,FR
34.51,28.57,27.72,26.25,23.44,28.38,21.37,18.31,17.20,14.91,13.41,13.65,A,IND_TOTAL,PC_IND,I_IUX,HR
26.15,24.39,22.09,21.17,18.87,17.04,16.13,14.25,12.46,9.93,9.54,7.46,A,IND_TOTAL,PC_IND,I_IUX,HU
17.94,17.61,16.26,16.47,14.87,15.85,15.50,8.65,5.75,0.07,:,1.13,A,IND_TOTAL,PC_IND,I_IUX,IE
3.11,2.79,1.36,:,:,1.15,0.60,0.43,0.47,0.31,:,:,A,IND_TOTAL,PC_IND,I_IUX,IS
37.18,34.40,31.51,27.90,24.70,22.32,18.62,16.83,14.23,11.25,9.88,8.86,A,IND_TOTAL,PC_IND,I_IUX,IT
30.99,28.74,25.02,24.57,21.75,19.29,16.54,15.11,13.53,10.71,9.75,9.66,A,IND_TOTAL,PC_IND,I_IUX,LT
6.20,4.66,4.05,2.18,1.86,2.17,2.94,2.88,1.18,1.17,1.37,0.41,A,IND_TOTAL,PC_IND,I_IUX,LU
24.21,22.09,20.64,18.18,17.41,15.83,13.29,11.59,8.43,6.22,6.69,6.09,A,IND_TOTAL,PC_IND,I_IUX,LV
38.51,32.64,28.73,25.88,23.24,20.89,18.06,16.69,14.10,11.44,:,:,A,IND_TOTAL,PC_IND,I_IUX,MK
28.95,27.67,24.11,21.07,20.58,17.85,16.59,12.88,12.39,11.59,7.43,6.99,A,IND_TOTAL,PC_IND,I_IUX,MT
5.78,4.88,4.95,4.44,4.65,2.96,3.67,2.43,3.71,3.49,3.22,0.58,A,IND_TOTAL,PC_IND,I_IUX,NL
3.84,3.14,2.69,1.46,1.66,1.11,1.17,0.82,0.67,0.26,0.08,0.08,A,IND_TOTAL,PC_IND,I_IUX,NO
32.37,31.97,28.11,27.08,22.27,19.62,18.32,15.48,13.16,11.14,9.42,9.78,A,IND_TOTAL,PC_IND,I_IUX,PL
34.45,33.09,30.46,27.86,25.79,22.34,22.78,21.97,18.22,15.61,13.62,12.39,A,IND_TOTAL,PC_IND,I_IUX,PT
47.73,42.37,38.60,31.80,30.29,26.54,21.22,17.66,14.05,11.36,10.35,7.45,A,IND_TOTAL,PC_IND,I_IUX,RO
:,:,:,30.59,:,25.77,24.24,19.36,17.43,10.43,10.62,8.90,A,IND_TOTAL,PC_IND,I_IUX,RS
5.44,3.73,5.50,4.52,2.53,2.25,4.31,1.81,1.19,1.37,1.13,0.91,A,IND_TOTAL,PC_IND,I_IUX,SE
27.98,22.59,24.06,22.13,21.90,17.62,16.02,13.0,11.12,7.82,8.62,7.96,A,IND_TOTAL,PC_IND,I_IUX,SI
17.68,15.25,14.60,16.26,15.07,14.04,13.35,11.71,6.74,7.75,7.48,8.64,A,IND_TOTAL,PC_IND,I_IUX,SK
52.56,51.10,46.22,44.08,38.84,33.15,27.11,24.66,21.02,17.37,14.99,12.88,A,IND_TOTAL,PC_IND,I_IUX,TR
10.11,7.99,5.53,6.15,3.85,3.90,4.31,3.17,1.53,:,:,:,A,IND_TOTAL,PC_IND,I_IUX,UK
:,:,:,:,:,13.05,10.78,8.06,2.38,:,:,:,A,IND_TOTAL,PC_IND,I_IUX,XK
