name,code,pop
Albania,ALB,
Austria,AUT,34.59
Bosnia and Herzegovina,BIH,
Belgium,BEL,31.53
Bulgaria,BGR,10.07
Switzerland,CHE,
Cyprus,CYP,20.44
Czech Republic,CZE,20.42
Germany,DEU,33.48
Denmark,DNK,52.98
Estonia,EST,34.74
Greece,GRC,19.36
Spain,ESP,30.72
Finland,FIN,43.74
France,FRA,27.57
Croatia,HRV,33.28
Hungary,HUN,23.82
Ireland,IRL,24.80
Iceland,ISL,
Italy,ITA,19.48
Lithuania,LTU,29.15
Luxembourg,LUX,54.15
Latvia,LVA,26.63
North Macedonia,MKD,13.25
Malta,MLT,31.95
Netherlands,NLD,44.87
Norway,NOR,45.46
Poland,POL,19.40
Portugal,PRT,28.34
Romania,ROU,8.59
Serbia,SRB,
Sweden,SWE,38.80
Slovenia,SVN,27.78
Slovakia,SVK,29.12
Turkey,TUR,15.58
United Kingdom,GBR,43.09
