2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,freq,ind_type,unit,indic_is,geo
67.07 ,70.74 ,75.95 ,74.46 ,76.19 ,78.07 ,81.30 ,80.85 ,:,82.14 ,:,85.37,A,H_COMP,PC_HH,TOTAL,AT
57.54 ,67.20 ,70.00 ,71.15 ,76.72 ,78.88 ,80.33 ,81.87 ,:,82.09 ,:,85.12,A,H_COMP,PC_HH,TOTAL,BE
21.25 ,23.33 ,28.60 ,31.66 ,35.07 ,46.78 ,52.34 ,54.87 ,:,59.04 ,:,62.96,A,H_COMP,PC_HH,TOTAL,BG
51.97 ,53.05 ,56.28 ,61.24 ,60.53 ,63.87 ,69.68 ,70.25 ,:,71.49 ,:,75.87,A,H_COMP,PC_HH,TOTAL,CY
39.04 ,43.40 ,52.41 ,59.59 ,64.06 ,69.90 ,74.56 ,73.87 ,:,78.94 ,:,82.18,A,H_COMP,PC_HH,TOTAL,CZ
76.86 ,78.65 ,81.82 ,84.09 ,85.74 ,86.86 ,87.10 ,88.87 ,:,90.99 ,:,92.87,A,H_COMP,PC_HH,TOTAL,DE
84.97 ,82.96 ,85.46 ,86.23 ,88.02 ,90.44 ,92.26 ,93.08 ,:,92.28 ,:,93.14,A,H_COMP,PC_HH,TOTAL,DK
52.04 ,56.47 ,58.83 ,64.00 ,68.30 ,70.04 ,74.34 ,78.99 ,:,87.88 ,:,86.91,A,H_COMP,PC_HH,TOTAL,EE
36.70 ,40.17 ,44.00 ,47.33 ,53.39 ,57.24 ,56.79 ,59.55 ,:,68.57 ,:,70.5,A,H_COMP,PC_HH,TOTAL,EL
55.87 ,58.95 ,62.18 ,65.10 ,67.43 ,70.33 ,72.59 ,73.33 ,:,75.87 ,:,78.39,A,H_COMP,PC_HH,TOTAL,ES
56.14 ,64.23 ,67.58 ,71.63 ,74.09 ,76.40 ,78.33 ,79.88 ,:,81.98 ,:,84.21,A,H_COMP,PC_HH,TOTAL,EU28
71.10 ,73.96 ,75.77 ,80.14 ,81.99 ,85.12 ,87.56 ,88.75 ,:,89.33 ,:,93.5,A,H_COMP,PC_HH,TOTAL,FI
: ,65.55 ,68.36 ,74.22 ,76.45 ,78.18 ,81.01 ,81.56 ,:,81.55 ,:,84.13,A,H_COMP,PC_HH,TOTAL,FR
: ,49.47 ,52.93 ,54.72 ,60.01 ,64.00 ,68.00 ,66.25 ,:,76.78 ,:,74.07,A,H_COMP,PC_HH,TOTAL,HR
48.80 ,52.57 ,57.19 ,61.36 ,64.46 ,67.81 ,69.75 ,71.40 ,:,74.98 ,:,79.67,A,H_COMP,PC_HH,TOTAL,HU
