2016,2018,2021,2023,freq,ind_type,indic_is,unit,geo
:,18.18,14.08,:,A,IND_TOTAL,I_IUG_DKPC,PC_IND,AL
46.98,47.40,41.29,43.29,A,IND_TOTAL,I_IUG_DKPC,PC_IND,AT
:,37.85,36.19,34.47,A,IND_TOTAL,I_IUG_DKPC,PC_IND,BA
46.08,39.75,32.18,30.20,A,IND_TOTAL,I_IUG_DKPC,PC_IND,BE
34.26,27.49,25.64,20.49,A,IND_TOTAL,I_IUG_DKPC,PC_IND,BG
:,:,46.08,47.28,A,IND_TOTAL,I_IUG_DKPC,PC_IND,CH
21.76,17.19,22.63,34.27,A,IND_TOTAL,I_IUG_DKPC,PC_IND,CY
41.67,50.90,43.80,46.36,A,IND_TOTAL,I_IUG_DKPC,PC_IND,CZ
60.00,58.74,34.46,31.51,A,IND_TOTAL,I_IUG_DKPC,PC_IND,DE
38.32,35.72,28.38,30.30,A,IND_TOTAL,I_IUG_DKPC,PC_IND,DK
46.34,42.80,35.29,32.27,A,IND_TOTAL,I_IUG_DKPC,PC_IND,EA
42.94,41.56,36.44,39.24,A,IND_TOTAL,I_IUG_DKPC,PC_IND,EE
33.57,33.03,33.28,29.19,A,IND_TOTAL,I_IUG_DKPC,PC_IND,EL
36.57,33.08,32.21,31.55,A,IND_TOTAL,I_IUG_DKPC,PC_IND,ES
44.70,41.24,33.92,30.99,A,IND_TOTAL,I_IUG_DKPC,PC_IND,EU27_2020
48.23,38.82,32.83,34.03,A,IND_TOTAL,I_IUG_DKPC,PC_IND,FI
51.61,43.29,36.38,32.00,A,IND_TOTAL,I_IUG_DKPC,PC_IND,FR
46.02,39.94,70.59,29.20,A,IND_TOTAL,I_IUG_DKPC,PC_IND,HR
53.83,41.89,31.64,34.71,A,IND_TOTAL,I_IUG_DKPC,PC_IND,HU
20.85,20.04,29.10,27.88,A,IND_TOTAL,I_IUG_DKPC,PC_IND,IE
:,51.29,47.95,:,A,IND_TOTAL,I_IUG_DKPC,PC_IND,IS
34.14,33.61,37.26,31.87,A,IND_TOTAL,I_IUG_DKPC,PC_IND,IT
30.95,28.74,24.76,23.42,A,IND_TOTAL,I_IUG_DKPC,PC_IND,LT
65.91,52.10,40.41,34.91,A,IND_TOTAL,I_IUG_DKPC,PC_IND,LU
43.49,40.22,36.34,34.13,A,IND_TOTAL,I_IUG_DKPC,PC_IND,LV
:,30.95,33.31,26.79,A,IND_TOTAL,I_IUG_DKPC,PC_IND,ME
42.51,36.60,28.51,:,A,IND_TOTAL,I_IUG_DKPC,PC_IND,MK
32.75,35.13,29.02,29.76,A,IND_TOTAL,I_IUG_DKPC,PC_IND,MT
59.32,47.83,42.19,40.08,A,IND_TOTAL,I_IUG_DKPC,PC_IND,NL
31.82,33.66,33.40,30.87,A,IND_TOTAL,I_IUG_DKPC,PC_IND,NO
35.61,31.89,23.16,20.54,A,IND_TOTAL,I_IUG_DKPC,PC_IND,PL
32.37,34.04,34.64,32.64,A,IND_TOTAL,I_IUG_DKPC,PC_IND,PT
40.24,35.53,24.19,19.98,A,IND_TOTAL,I_IUG_DKPC,PC_IND,RO
:,43.87,39.28,39.42,A,IND_TOTAL,I_IUG_DKPC,PC_IND,RS
39.72,39.59,32.78,32.09,A,IND_TOTAL,I_IUG_DKPC,PC_IND,SE
42.72,38.44,40.83,35.39,A,IND_TOTAL,I_IUG_DKPC,PC_IND,SI
43.39,38.08,32.23,29.11,A,IND_TOTAL,I_IUG_DKPC,PC_IND,SK
:,16.42,11.89,12.60,A,IND_TOTAL,I_IUG_DKPC,PC_IND,TR
42.28,44.67,:,:,A,IND_TOTAL,I_IUG_DKPC,PC_IND,UK
:,18.38,:,:,A,IND_TOTAL,I_IUG_DKPC,PC_IND,XK
:,9.53,18.14,:,A,IND_TOTAL,I_IUG_LPC,PC_IND,AL
58.50,57.06,57.43,57.81,A,IND_TOTAL,I_IUG_LPC,PC_IND,AT
:,29.57,28.26,36.25,A,IND_TOTAL,I_IUG_LPC,PC_IND,BA
67.17,59.62,63.49,64.89,A,IND_TOTAL,I_IUG_LPC,PC_IND,BE
30.36,32.53,30.71,33.52,A,IND_TOTAL,I_IUG_LPC,PC_IND,BG
:,:,69.54,71.78,A,IND_TOTAL,I_IUG_LPC,PC_IND,CH
52.33,47.14,53.84,48.98,A,IND_TOTAL,I_IUG_LPC,PC_IND,CY
53.90,63.92,66.99,71.83,A,IND_TOTAL,I_IUG_LPC,PC_IND,CZ
63.22,61.76,51.40,51.49,A,IND_TOTAL,I_IUG_LPC,PC_IND,DE
73.56,70.51,73.36,69.83,A,IND_TOTAL,I_IUG_LPC,PC_IND,DK
50.96,50.77,52.20,54.75,A,IND_TOTAL,I_IUG_LPC,PC_IND,EA
63.59,62.54,61.76,62.76,A,IND_TOTAL,I_IUG_LPC,PC_IND,EE
42.59,39.16,39.64,36.51,A,IND_TOTAL,I_IUG_LPC,PC_IND,EL
46.56,49.55,54.15,53.21,A,IND_TOTAL,I_IUG_LPC,PC_IND,ES
50.18,50.62,52.39,54.27,A,IND_TOTAL,I_IUG_LPC,PC_IND,EU27_2020
73.08,69.53,73.34,71.80,A,IND_TOTAL,I_IUG_LPC,PC_IND,FI
54.18,57.52,61.17,60.93,A,IND_TOTAL,I_IUG_LPC,PC_IND,FR
47.94,41.13,32.92,49.27,A,IND_TOTAL,I_IUG_LPC,PC_IND,HR
50.87,50.66,50.41,54.67,A,IND_TOTAL,I_IUG_LPC,PC_IND,HU
55.27,46.25,74.33,59.64,A,IND_TOTAL,I_IUG_LPC,PC_IND,IE
:,78.58,80.40,:,A,IND_TOTAL,I_IUG_LPC,PC_IND,IS
21.59,21.20,29.10,47.35,A,IND_TOTAL,I_IUG_LPC,PC_IND,IT
51.40,53.44,56.07,50.84,A,IND_TOTAL,I_IUG_LPC,PC_IND,LT
71.78,59.02,60.89,52.76,A,IND_TOTAL,I_IUG_LPC,PC_IND,LU
47.08,50.42,50.32,49.89,A,IND_TOTAL,I_IUG_LPC,PC_IND,LV
:,41.65,48.60,40.80,A,IND_TOTAL,I_IUG_LPC,PC_IND,ME
38.80,40.24,31.35,:,A,IND_TOTAL,I_IUG_LPC,PC_IND,MK
53.80,56.10,58.17,57.16,A,IND_TOTAL,I_IUG_LPC,PC_IND,MT
74.97,72.63,78.28,77.04,A,IND_TOTAL,I_IUG_LPC,PC_IND,NL
81.73,79.24,79.19,76.66,A,IND_TOTAL,I_IUG_LPC,PC_IND,NO
53.99,57.05,60.91,56.02,A,IND_TOTAL,I_IUG_LPC,PC_IND,PL
51.41,50.24,54.15,53.10,A,IND_TOTAL,I_IUG_LPC,PC_IND,PT
21.78,23.82,27.93,27.14,A,IND_TOTAL,I_IUG_LPC,PC_IND,RO
:,33.24,27.46,37.23,A,IND_TOTAL,I_IUG_LPC,PC_IND,RS
65.24,65.23,71.24,69.31,A,IND_TOTAL,I_IUG_LPC,PC_IND,SE
53.16,50.48,57.63,47.24,A,IND_TOTAL,I_IUG_LPC,PC_IND,SI
58.53,50.15,54.13,51.71,A,IND_TOTAL,I_IUG_LPC,PC_IND,SK
:,24.70,23.95,23.61,A,IND_TOTAL,I_IUG_LPC,PC_IND,TR
66.19,65.22,:,:,A,IND_TOTAL,I_IUG_LPC,PC_IND,UK
:,22.86,:,:,A,IND_TOTAL,I_IUG_LPC,PC_IND,XK
:,58.58,78.33,:,A,IND_TOTAL,I_IUG_MP,PC_IND,AL
68.97,77.84,87.84,91.85,A,IND_TOTAL,I_IUG_MP,PC_IND,AT
:,58.41,63.59,76.79,A,IND_TOTAL,I_IUG_MP,PC_IND,BA
67.79,72.33,83.19,87.22,A,IND_TOTAL,I_IUG_MP,PC_IND,BE
42.25,56.55,71.84,78.31,A,IND_TOTAL,I_IUG_MP,PC_IND,BG
:,:,97.23,98.25,A,IND_TOTAL,I_IUG_MP,PC_IND,CH
67.02,80.97,89.59,90.35,A,IND_TOTAL,I_IUG_MP,PC_IND,CY
44.81,63.74,78.66,85.58,A,IND_TOTAL,I_IUG_MP,PC_IND,CZ
73.40,81.89,77.31,82.86,A,IND_TOTAL,I_IUG_MP,PC_IND,DE
82.82,88.49,91.26,93.41,A,IND_TOTAL,I_IUG_MP,PC_IND,DK
65.72,74.75,82.01,86.40,A,IND_TOTAL,I_IUG_MP,PC_IND,EA
63.00,73.19,80.26,85.12,A,IND_TOTAL,I_IUG_MP,PC_IND,EE
45.35,58.66,71.26,78.58,A,IND_TOTAL,I_IUG_MP,PC_IND,EL
75.18,82.94,93.88,95.36,A,IND_TOTAL,I_IUG_MP,PC_IND,ES
62.13,72.41,81.48,86.32,A,IND_TOTAL,I_IUG_MP,PC_IND,EU27_2020
75.99,81.67,89.99,92.42,A,IND_TOTAL,I_IUG_MP,PC_IND,FI
61.06,69.99,80.12,84.85,A,IND_TOTAL,I_IUG_MP,PC_IND,FR
62.99,64.74,68.80,81.01,A,IND_TOTAL,I_IUG_MP,PC_IND,HR
61.42,64.94,77.01,85.85,A,IND_TOTAL,I_IUG_MP,PC_IND,HU
69.15,70.47,93.63,92.28,A,IND_TOTAL,I_IUG_MP,PC_IND,IE
:,90.94,96.03,:,A,IND_TOTAL,I_IUG_MP,PC_IND,IS
54.25,66.61,78.28,83.09,A,IND_TOTAL,I_IUG_MP,PC_IND,IT
46.86,65.04,79.16,82.97,A,IND_TOTAL,I_IUG_MP,PC_IND,LT
80.57,85.44,88.62,90.93,A,IND_TOTAL,I_IUG_MP,PC_IND,LU
49.24,59.33,79.20,85.09,A,IND_TOTAL,I_IUG_MP,PC_IND,LV
:,67.09,81.15,87.40,A,IND_TOTAL,I_IUG_MP,PC_IND,ME
58.38,68.76,82.31,:,A,IND_TOTAL,I_IUG_MP,PC_IND,MK
65.27,71.85,83.25,88.39,A,IND_TOTAL,I_IUG_MP,PC_IND,MT
82.08,85.13,91.30,97.65,A,IND_TOTAL,I_IUG_MP,PC_IND,NL
86.97,91.33,96.66,97.81,A,IND_TOTAL,I_IUG_MP,PC_IND,NO
43.87,60.46,78.10,83.41,A,IND_TOTAL,I_IUG_MP,PC_IND,PL
55.18,66.63,78.79,83.83,A,IND_TOTAL,I_IUG_MP,PC_IND,PT
41.65,60.79,80.73,87.39,A,IND_TOTAL,I_IUG_MP,PC_IND,RO
:,61.43,77.87,80.69,A,IND_TOTAL,I_IUG_MP,PC_IND,RS
78.59,86.30,91.57,93.94,A,IND_TOTAL,I_IUG_MP,PC_IND,SE
54.97,67.99,84.22,87.34,A,IND_TOTAL,I_IUG_MP,PC_IND,SI
57.41,64.46,78.66,80.55,A,IND_TOTAL,I_IUG_MP,PC_IND,SK
:,69.23,80.61,85.13,A,IND_TOTAL,I_IUG_MP,PC_IND,TR
81.28,84.28,:,:,A,IND_TOTAL,I_IUG_MP,PC_IND,UK
:,84.60,:,:,A,IND_TOTAL,I_IUG_MP,PC_IND,XK
:,:,3.11,:,A,IND_TOTAL,I_IUG_OTH1,PC_IND,AL
:,:,29.16,38.23,A,IND_TOTAL,I_IUG_OTH1,PC_IND,AT
:,:,3.91,9.26,A,IND_TOTAL,I_IUG_OTH1,PC_IND,BA
:,:,34.67,13.74,A,IND_TOTAL,I_IUG_OTH1,PC_IND,BE
:,:,6.04,7.45,A,IND_TOTAL,I_IUG_OTH1,PC_IND,BG
:,:,35.46,40.53,A,IND_TOTAL,I_IUG_OTH1,PC_IND,CH
:,:,36.33,59.29,A,IND_TOTAL,I_IUG_OTH1,PC_IND,CY
:,:,46.87,61.46,A,IND_TOTAL,I_IUG_OTH1,PC_IND,CZ
:,:,20.54,28.32,A,IND_TOTAL,I_IUG_OTH1,PC_IND,DE
:,:,20.88,43.71,A,IND_TOTAL,I_IUG_OTH1,PC_IND,DK
:,:,27.71,35.08,A,IND_TOTAL,I_IUG_OTH1,PC_IND,EA
:,:,28.39,33.38,A,IND_TOTAL,I_IUG_OTH1,PC_IND,EE
:,:,13.97,19.67,A,IND_TOTAL,I_IUG_OTH1,PC_IND,EL
:,:,48.16,55.10,A,IND_TOTAL,I_IUG_OTH1,PC_IND,ES
:,:,25.53,33.10,A,IND_TOTAL,I_IUG_OTH1,PC_IND,EU27_2020
:,:,66.97,97.70,A,IND_TOTAL,I_IUG_OTH1,PC_IND,FI
:,:,19.22,22.64,A,IND_TOTAL,I_IUG_OTH1,PC_IND,FR
:,:,6.54,8.62,A,IND_TOTAL,I_IUG_OTH1,PC_IND,HR
:,:,10.73,26.24,A,IND_TOTAL,I_IUG_OTH1,PC_IND,HU
:,:,54.73,47.60,A,IND_TOTAL,I_IUG_OTH1,PC_IND,IE
:,:,45.84,:,A,IND_TOTAL,I_IUG_OTH1,PC_IND,IS
:,:,17.50,37.02,A,IND_TOTAL,I_IUG_OTH1,PC_IND,IT
:,:,21.35,25.22,A,IND_TOTAL,I_IUG_OTH1,PC_IND,LT
:,:,37.18,29.52,A,IND_TOTAL,I_IUG_OTH1,PC_IND,LU
:,:,26.66,33.30,A,IND_TOTAL,I_IUG_OTH1,PC_IND,LV
:,:,8.69,24.89,A,IND_TOTAL,I_IUG_OTH1,PC_IND,ME
:,:,10.36,:,A,IND_TOTAL,I_IUG_OTH1,PC_IND,MK
:,:,46.29,47.14,A,IND_TOTAL,I_IUG_OTH1,PC_IND,MT
:,:,56.84,59.82,A,IND_TOTAL,I_IUG_OTH1,PC_IND,NL
:,:,68.45,70.62,A,IND_TOTAL,I_IUG_OTH1,PC_IND,NO
:,:,14.06,15.35,A,IND_TOTAL,I_IUG_OTH1,PC_IND,PL
:,:,26.16,31.94,A,IND_TOTAL,I_IUG_OTH1,PC_IND,PT
:,:,7.81,15.29,A,IND_TOTAL,I_IUG_OTH1,PC_IND,RO
:,:,7.13,22.56,A,IND_TOTAL,I_IUG_OTH1,PC_IND,RS
:,:,45.19,49.07,A,IND_TOTAL,I_IUG_OTH1,PC_IND,SE
:,:,22.47,17.93,A,IND_TOTAL,I_IUG_OTH1,PC_IND,SI
:,:,26.46,34.26,A,IND_TOTAL,I_IUG_OTH1,PC_IND,SK
:,:,16.52,22.23,A,IND_TOTAL,I_IUG_OTH1,PC_IND,TR
:,3.54,6.96,:,A,IND_TOTAL,I_IUG_TPC,PC_IND,AL
29.75,32.95,31.84,33.63,A,IND_TOTAL,I_IUG_TPC,PC_IND,AT
:,8.00,10.00,10.50,A,IND_TOTAL,I_IUG_TPC,PC_IND,BA
42.08,39.07,35.31,33.55,A,IND_TOTAL,I_IUG_TPC,PC_IND,BE
11.45,11.66,10.83,11.47,A,IND_TOTAL,I_IUG_TPC,PC_IND,BG
:,:,45.25,43.72,A,IND_TOTAL,I_IUG_TPC,PC_IND,CH
28.01,24.24,31.78,39.97,A,IND_TOTAL,I_IUG_TPC,PC_IND,CY
15.28,27.99,27.41,34.11,A,IND_TOTAL,I_IUG_TPC,PC_IND,CZ
49.17,43.83,33.69,37.49,A,IND_TOTAL,I_IUG_TPC,PC_IND,DE
54.24,53.50,45.82,42.90,A,IND_TOTAL,I_IUG_TPC,PC_IND,DK
36.98,35.14,32.64,32.86,A,IND_TOTAL,I_IUG_TPC,PC_IND,EA
27.97,28.38,24.46,23.11,A,IND_TOTAL,I_IUG_TPC,PC_IND,EE
21.44,23.54,26.46,24.14,A,IND_TOTAL,I_IUG_TPC,PC_IND,EL
33.45,35.97,37.12,34.54,A,IND_TOTAL,I_IUG_TPC,PC_IND,ES
32.97,31.82,29.54,30.22,A,IND_TOTAL,I_IUG_TPC,PC_IND,EU27_2020
48.96,44.22,41.20,37.43,A,IND_TOTAL,I_IUG_TPC,PC_IND,FI
39.71,36.41,32.85,30.16,A,IND_TOTAL,I_IUG_TPC,PC_IND,FR
21.32,17.48,17.41,13.95,A,IND_TOTAL,I_IUG_TPC,PC_IND,HR
17.12,19.88,12.44,16.69,A,IND_TOTAL,I_IUG_TPC,PC_IND,HU
30.66,35.29,50.99,41.54,A,IND_TOTAL,I_IUG_TPC,PC_IND,IE
:,47.62,47.68,:,A,IND_TOTAL,I_IUG_TPC,PC_IND,IS
19.92,19.48,22.42,28.32,A,IND_TOTAL,I_IUG_TPC,PC_IND,IT
17.40,22.21,24.16,20.68,A,IND_TOTAL,I_IUG_TPC,PC_IND,LT
51.90,45.29,43.99,35.87,A,IND_TOTAL,I_IUG_TPC,PC_IND,LU
19.85,19.40,23.44,20.99,A,IND_TOTAL,I_IUG_TPC,PC_IND,LV
:,16.74,15.61,13.22,A,IND_TOTAL,I_IUG_TPC,PC_IND,ME
12.28,14.05,7.63,:,A,IND_TOTAL,I_IUG_TPC,PC_IND,MK
35.69,47.29,30.99,33.82,A,IND_TOTAL,I_IUG_TPC,PC_IND,MT
61.28,55.86,53.18,48.93,A,IND_TOTAL,I_IUG_TPC,PC_IND,NL
64.21,56.02,50.69,45.69,A,IND_TOTAL,I_IUG_TPC,PC_IND,NO
15.74,15.49,13.48,12.88,A,IND_TOTAL,I_IUG_TPC,PC_IND,PL
30.65,30.03,26.29,23.20,A,IND_TOTAL,I_IUG_TPC,PC_IND,PT
15.76,12.83,14.04,17.81,A,IND_TOTAL,I_IUG_TPC,PC_IND,RO
:,15.22,8.38,10.62,A,IND_TOTAL,I_IUG_TPC,PC_IND,RS
46.02,46.35,43.53,37.82,A,IND_TOTAL,I_IUG_TPC,PC_IND,SE
22.40,19.85,23.79,17.88,A,IND_TOTAL,I_IUG_TPC,PC_IND,SI
28.60,27.09,28.97,25.16,A,IND_TOTAL,I_IUG_TPC,PC_IND,SK
:,12.19,10.70,11.06,A,IND_TOTAL,I_IUG_TPC,PC_IND,TR
57.35,59.17,:,:,A,IND_TOTAL,I_IUG_TPC,PC_IND,UK
:,9.72,:,:,A,IND_TOTAL,I_IUG_TPC,PC_IND,XK
