2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,freq,indic_is,unit,ind_type,geo
:,:,:,:,:,:,53.46,59.68,63.69,72.78,81.51,:,A,I_IDAY,PC_IND,IND_TOTAL,AL
60.15,63.01,64.19,68.44,71.95,73.67,75.63,79.9,81.38,81.17,81.89,84.40,A,I_IDAY,PC_IND,IND_TOTAL,AT
:,:,:,:,:,:,61.20,64.98,67.44,71.42,:,80.38,A,I_IDAY,PC_IND,IND_TOTAL,BA
64.54,68.32,71.15,73.32,74.14,76.20,82.17,84.58,84.48,86.20,88.65,89.75,A,I_IDAY,PC_IND,IND_TOTAL,BE
40.38,42.51,45.52,46.48,48.59,54.04,55.31,59.77,61.76,67.42,74.87,76.74,A,I_IDAY,PC_IND,IND_TOTAL,BG
:,:,75.91,:,:,82.04,:,89.02,:,91.35,:,94.83,A,I_IDAY,PC_IND,IND_TOTAL,CH
46.64,53.14,55.91,62.77,68.52,74.15,76.79,79.19,88.36,88.56,88.06,90.77,A,I_IDAY,PC_IND,IND_TOTAL,CY
43.59,54.34,60.35,62.72,65.13,68.27,75.45,76.1,79.35,80.54,84.15,84.66,A,I_IDAY,PC_IND,IND_TOTAL,CZ
64.59,68.55,72.09,75.43,77.79,79.48,83.54,85.11,88.08,81.77,85.00,86.30,A,I_IDAY,PC_IND,IND_TOTAL,DE
80.51,84.33,85.00,87.29,89.34,91.36,91.69,92.09,93.79,94.68,93.54,95.19,A,I_IDAY,PC_IND,IND_TOTAL,DK
59.44,62.67,72.60,77.38,77.08,79.39,81.83,83.2,83.89,84.94,86.71,89.02,A,I_IDAY,PC_IND,IND_TOTAL,EE
40.64,46.69,48.85,54.59,56.67,59.43,61.01,64.5,68.70,70.16,77.27,80.02,A,I_IDAY,PC_IND,IND_TOTAL,EL
49.78,53.85,59.96,64.25,66.79,68.98,72.08,77.61,83.07,85.83,87.11,89.98,A,I_IDAY,PC_IND,IND_TOTAL,ES
56.30,59.50,62.70,65.36,68.53,70.63,74.07,76.95,79.69,80.41,83.86,85.87,A,I_IDAY,PC_IND,IND_TOTAL,EU27_2020
78.48,79.76,81.26,84.05,85.21,87.19,87.93,89.82,91.94,92.54,91.71,92.84,A,I_IDAY,PC_IND,IND_TOTAL,FI
65.00,66.28,67.79,67.84,70.40,70.25,75.24,77.32,:,77.69,82.46,84.08,A,I_IDAY,PC_IND,IND_TOTAL,FR
47.68,53.41,55.74,59.51,63.41,57.51,66.10,71.39,73.66,76.34,76.89,78.61,A,I_IDAY,PC_IND,IND_TOTAL,HR
57.63,61.70,65.61,63.14,70.68,68.68,68.69,75.21,78.58,82.29,85.00,88.28,A,I_IDAY,PC_IND,IND_TOTAL,HU
58.24,61.27,64.64,66.97,69.57,70.18,73.84,82.51,83.72,94.65,:,91.22,A,I_IDAY,PC_IND,IND_TOTAL,IE
87.86,90.67,93.52,:,:,95.78,96.09,96.97,97.64,97.71,:,:,A,I_IDAY,PC_IND,IND_TOTAL,IS
50.91,54.44,58.11,62.14,65.87,68.00,71.49,72.79,75.58,78.93,81.93,84.46,A,I_IDAY,PC_IND,IND_TOTAL,IT
48.80,53.06,56.55,55.91,60.40,63.80,68.19,72.6,74.34,77.88,82.30,83.23,A,I_IDAY,PC_IND,IND_TOTAL,LT
80.86,81.60,87.09,91.88,92.72,90.93,86.34,87.06,91.73,93.63,91.72,93.13,A,I_IDAY,PC_IND,IND_TOTAL,LU
57.41,60.18,61.44,66.17,68.17,69.82,73.35,75.49,79.50,83.55,85.99,87.44,A,I_IDAY,PC_IND,IND_TOTAL,LV
43.93,52.33,53.12,59.62,61.13,62.00,68.67,72.77,70.77,80.48,:,:,A,I_IDAY,PC_IND,IND_TOTAL,MK
57.13,59.25,63.29,69.93,71.12,75.95,77.08,82.2,83.22,84.35,89.51,89.59,A,I_IDAY,PC_IND,IND_TOTAL,MT
80.80,82.98,83.99,85.14,86.49,89.72,90.23,91.86,90.71,91.49,92.63,97.67,A,I_IDAY,PC_IND,IND_TOTAL,NL
86.44,85.09,89.23,88.66,92.27,91.60,93.43,94.81,94.14,95.36,96.30,95.48,A,I_IDAY,PC_IND,IND_TOTAL,NO
46.42,47.23,50.73,52.31,57.16,61.13,63.91,68.18,72.34,73.67,80.32,79.51,A,I_IDAY,PC_IND,IND_TOTAL,PL
44.87,47.59,50.99,55.47,59.53,62.62,63.91,65.42,70.44,74.56,79.61,81.11,A,I_IDAY,PC_IND,IND_TOTAL,PT
28.70,32.20,32.46,36.63,42.41,46.73,53.38,56.7,62.09,68.81,77.17,82.07,A,I_IDAY,PC_IND,IND_TOTAL,RO
:,:,:,54.56,:,62.02,67.67,72.19,72.71,74.95,81.51,82.78,A,I_IDAY,PC_IND,IND_TOTAL,RS
79.72,81.03,82.58,81.98,85.06,90.07,87.84,91.42,92.23,92.03,94.56,95.21,A,I_IDAY,PC_IND,IND_TOTAL,SE
52.81,57.98,57.83,60.79,64.42,68.25,71.08,74.17,76.32,84.75,85.64,86.70,A,I_IDAY,PC_IND,IND_TOTAL,SI
59.78,61.17,62.44,60.42,67.52,69.37,67.85,75.76,79.88,80.01,82.82,82.15,A,I_IDAY,PC_IND,IND_TOTAL,SK
26.71,29.74,34.54,40.06,48.69,56.85,62.97,67.18,70.84,76.51,80.02,82.31,A,I_IDAY,PC_IND,IND_TOTAL,TR
73.26,77.96,81.47,82.53,87.73,85.12,90.54,91.46,93.53,:,:,:,A,I_IDAY,PC_IND,IND_TOTAL,UK
